@N: MF916 |Option synthesis_strategy=base is enabled. 
@N: MF248 |Running in 64-bit mode.
@N: MF667 |Clock conversion disabled. (Command "set_option -fix_gated_and_generated_clocks 0" in the project file.)
@N: BN362 :"e:\github_repos\fifo_cdc\fifo_cdc\hdl\fifo_cdc.vhd":335:8:335:9|Removing sequential instance W_DATA_sig[8] (in view: work.FIFO_CDC(architecture_fifo_cdc)) of type view:PrimLib.dffr(prim) because it does not drive other instances.
@N: BN362 :"e:\github_repos\fifo_cdc\fifo_cdc\hdl\fifo_cdc.vhd":335:8:335:9|Removing sequential instance W_DATA_sig[9] (in view: work.FIFO_CDC(architecture_fifo_cdc)) of type view:PrimLib.dffr(prim) because it does not drive other instances.
@N: BN362 :"e:\github_repos\fifo_cdc\fifo_cdc\hdl\fifo_cdc.vhd":335:8:335:9|Removing sequential instance W_DATA_sig[10] (in view: work.FIFO_CDC(architecture_fifo_cdc)) of type view:PrimLib.dffr(prim) because it does not drive other instances.
@N: BN362 :"e:\github_repos\fifo_cdc\fifo_cdc\hdl\fifo_cdc.vhd":335:8:335:9|Removing sequential instance W_DATA_sig[11] (in view: work.FIFO_CDC(architecture_fifo_cdc)) of type view:PrimLib.dffr(prim) because it does not drive other instances.
@N: BN362 :"e:\github_repos\fifo_cdc\fifo_cdc\hdl\fifo_cdc.vhd":335:8:335:9|Removing sequential instance W_DATA_sig[12] (in view: work.FIFO_CDC(architecture_fifo_cdc)) of type view:PrimLib.dffr(prim) because it does not drive other instances.
@N: BN362 :"e:\github_repos\fifo_cdc\fifo_cdc\hdl\fifo_cdc.vhd":335:8:335:9|Removing sequential instance W_DATA_sig[13] (in view: work.FIFO_CDC(architecture_fifo_cdc)) of type view:PrimLib.dffr(prim) because it does not drive other instances.
@N: BN362 :"e:\github_repos\fifo_cdc\fifo_cdc\hdl\fifo_cdc.vhd":335:8:335:9|Removing sequential instance W_DATA_sig[14] (in view: work.FIFO_CDC(architecture_fifo_cdc)) of type view:PrimLib.dffr(prim) because it does not drive other instances.
@N: BN362 :"e:\github_repos\fifo_cdc\fifo_cdc\hdl\fifo_cdc.vhd":335:8:335:9|Removing sequential instance W_DATA_sig[15] (in view: work.FIFO_CDC(architecture_fifo_cdc)) of type view:PrimLib.dffr(prim) because it does not drive other instances.
@N: BN362 :"e:\github_repos\fifo_cdc\fifo_cdc\hdl\fifo_cdc.vhd":335:8:335:9|Removing sequential instance W_DATA_sig[16] (in view: work.FIFO_CDC(architecture_fifo_cdc)) of type view:PrimLib.dffr(prim) because it does not drive other instances.
@N: BN362 :"e:\github_repos\fifo_cdc\fifo_cdc\hdl\fifo_cdc.vhd":335:8:335:9|Removing sequential instance W_DATA_sig[17] (in view: work.FIFO_CDC(architecture_fifo_cdc)) of type view:PrimLib.dffr(prim) because it does not drive other instances.
@N: BN362 :"e:\github_repos\fifo_cdc\fifo_cdc\hdl\fifo_cdc.vhd":335:8:335:9|Removing sequential instance W_DATA_sig[18] (in view: work.FIFO_CDC(architecture_fifo_cdc)) of type view:PrimLib.dffr(prim) because it does not drive other instances.
@N: BN362 :"e:\github_repos\fifo_cdc\fifo_cdc\hdl\fifo_cdc.vhd":335:8:335:9|Removing sequential instance W_DATA_sig[19] (in view: work.FIFO_CDC(architecture_fifo_cdc)) of type view:PrimLib.dffr(prim) because it does not drive other instances.
